Name,Year,Actors
I'll Remember April,1999,"Haley Joel Osment, Pat Morita, Mark Harmon, Pam Dawber, Trevor Morgan, Paul Dooley, Yuji Okumoto, Troy Evans"
"Mary, Mother of Jesus",1999,"Pernilla August, Christian Bale, Geraldine Chaplin, David Threlfall, Hywel Bennett, John Shrapnel, Robert Addie, Edward Hardwicke, Melinda Kinnaman, Toby Bailiff, Simone Bendix, John Light, Mark Jax, Anna Mathias, Crispian Belfrage, Michael Mears"
Dinner Rush,2000,"Danny Aiello, Edoardo Ballerini, Vivian Wu, Kirk Acevedo, Jamie Harris, John Corbett, Mike McGlone, Sandra Bernhard, Polly Draper, Mark Margolis, Summer Phoenix, John Rothman, Manny Pérez, Zainab Jah, Alex Corrado, Lexie Sperduto"
Mixed Blessings,1995,"Scott Baio, Gabrielle Carteris, Bruce Greenwood, Barbara Tyson, Alexandra Paul, Bruce Weitz, James Naughton, Bess Armstrong, Julie Condra, Janne Mortil"
Dangerous Evidence: The Lori Jackson Story,1999,"Peter MacNeill, Richard Yearwood, Lynn Whitfield, Geordie Johnson, Richard Lineback, Bruce Gray, Barbara Mamabolo, Erica Luttrell, Jeff Clarke"
Boys Briefs,2000,Michael Saucedo
Paul: The Emissary,1997,Garry Cooper
Above Suspicion,1995,"Christopher Reeve, Kim Cattrall, William H. Macy, Joe Mantegna, Finola Hughes, Ron Canada, Natalia Nogulich, Clark Gregg, Joanna Miles, Geoffrey Rivas, Edward Kerr"
Seventeen Again,2000,"Tia Mowry, Tahj Mowry, Tamera Mowry, Novie Edwards, Mark Taylor, Maia Campbell, Hope Clarke"
Finding North,1998,"John Benjamin Hickey, Wendy Makkena, Angela Pietropinto, Jonathan Walker, Anne Bobby, Freddie Roman, Rebecca Creskoff, Molly McClure"
Far Harbor,1996,"Dan Futterman, Jennifer Connelly, George Newbern, Tracee Ellis Ross, Marcia Gay Harden, Edward Atterton, Andrew Lauren"
Mr. and Mrs. Loving,1996,"Timothy Hutton, Ruby Dee, Corey Parker, Lela Rochon, Isaiah Washington, Bill Nunn, Charles W. Gray, Diana Belshaw"
"Other Voices, Other Rooms",1997,"Aubrey Dollar, Lothaire Bluteau, Anna Thomson, Frank Hoyt Taylor, April Turner, Robert Kingdom, David Speck, Jayne Morgan"
Heartwood,1998,"Jason Robards Jr., Stanley DeSantis, Randall Batinkoff, Hilary Swank, John Terry"
The Story of Jesus for Children,2000,"Brian Deacon, Brandon Gilberstadt, Lindsey Wholey"
Small Miracles,2000,"Griff Rhys Jones, Matthew Rhys, Robert Pugh, Ian Bannen, Geraldine James, Jonathan Pryce, Mark Bishop, Rhys Tucker, Sophie Sherrington"
Going Home,1999,"Christopher Rich, Ashley Crow, Scott Terra, Jason Robards Jr., Sherry Stringfield, Clint Black"
A Father's Choice,2000,"Yvonne Zima, Michelle Trachtenberg, Mary McDonnell, Eddie Velez, Peter Strauss, Dan Willmott, Barbara Duncan, Roger Cross, Joe Norman Shaw, Susan Hogan"
Simply Irresistible,1999,"Sarah Michelle Gellar, Sean Patrick Flanery, Patricia Clarkson, Dylan Baker, Christopher Durang, Lawrence Gilliard Jr., Betty Buckley, Amanda Peet, Gabriel Macht, Aleksander Krupa"
Committed,2000,"Luke Wilson, Casey Affleck, Heather Graham, Summer Phoenix, Kim Dickens, Clea DuVall, Mark Ruffalo, Goran Višnjić, Jon Stewart, Dylan Baker, Patricia Velásquez"
Danielle Steel's Remembrance,1996,"Eva LaRue, Angie Dickinson, Jeffrey Nordling, Amanda Tapping, Michael Lowry, Cecilley Carroll, Natalie Radford, Odette Annable"
The Rook,1999,"Martin Donovan, John MacKay, Fritz Fox, Michael Finesilver, David P. Dawson"
Dope Case Pending,2000,"Coolio, Arturo Molina Jr."
Something to Sing About,2000,"Kirk Franklin, Bart Braverman, Tamera Mowry, Darius McCrary, Irma P. Hall, Devika Parikh, Rashaan Nall, Brian J. White, Lobo Sebastian, Jack Axelrod"
Confessions of a Lap Dancer,1997,"Daniel Anderson, Doug Jeffery, Leigh Rose, Nikki Nova, Josie Hunter, Toni Trenton, Jonathan Fraser, James Keefe, Ramon Swalit, Edwin Craig, Gretchen Clinton"
True Friends,1998,"Leo Rossi, Dan Lauria, Mackenzie Phillips, James Quattrochi, Loreto Mauro, Peter Onorati, Rodrigo Botero, John Capodice"
Oliver Twist,1997,"Elijah Wood, Richard Dreyfuss, David O'Hara, Alex Trench, Eileen Colgan, Anthony Finigan, Des Braiden, Maria Charles, Olivia Caffrey, Eilish Moore, Antoine Byrne"
Cleopatra,1999,"Nadim Sawalha, Timothy Dalton, Art Malik, John Bowe, Rupert Graves, Billy Zane, Bruce Payne, Sean Pertwee, Richard Armitage, David Schofield, Owen Teale"
Boys Briefs 2,2000,"Daniel MacIvor, Pablo Puyol, Nico Link, Tobias Schenke, Danny Roberts"
Permanent Midnight,1998,"Ben Stiller, Maria Bello, Elizabeth Hurley, Janeane Garofalo, Owen Wilson, Cheryl Ladd, Peter Greene, Fred Willard, Mary Thompson, Scott Williamson, Spencer Garrett, Jerry Stahl, Douglas Spain, Lourdes Benedicto, Charles Fleischer, Liz Torres, Sandra Oh, Andy Dick, Spencer Garrett, Jay Paulson, Chauncey Leopardi, Connie Nielsen, Nancye Ferguson, Sam Anderson, Regina Nichols, John Prosky, François Giroday, Ren Hanami, Daniel Hartley, Lainie Kazan, Christian Mixon"
An Ideal Husband,1999,"Minnie Driver, Rupert Everett, Julianne Moore, Jeremy Northam, John Wood, Peter Vaughan, Lindsay Duncan, Simon Russell Beale, Nickolas Grace, Cate Blanchett, Jeroen Krabbé, Ben Pullen, Lady Marcia FitzAlan-Howard, Neville Phillips, Anna Patrick, Delia Lindsay, Denise Stephenson, Charles Edwards, Nancy Carroll, Andrew Harrison, Jill Balcon, Janet Henfrey, Toby Robertson, Michael Culkin, Oliver Parker, Doug Bradley, Stephen May, Susannah Wise, Peter Parker, Oliver Ford Davies, Neil Mendoza, John Thompson"
Edge of Seventeen,1998,"Tina Holmes, Chris Stafford, Andersen Gabrych, Lea DeLaria, Kevin Joseph Kelly, Stephanie McVay, Jason Scheingross, Tony Maietta, John Eby, Antonio Carriero"
Dangerous Ground,1997,"Elizabeth Hurley, Ice Cube, Ving Rhames, Ron Smerczak, Fana Mokoena, Peter Khubeke, Wilson Dunster"
In His Father's Shoes,1997,"Dan Petronijevic, Shadia Simmons, A. J. Cook, Robert Ri'chard, Louis Gossett Jr., Fiona Reid, Rachael Crawford, Barbara Eve Harris, R. D. Reid, Naomi Lee Allen, Kevin Duhaney"
Rough Magic,1995,"Russell Crowe, Bridget Fonda, Andy Romano, Richard Schiff, Jim Broadbent, D. W. Moffett, Kenneth Mars, Paul Rodriguez"
Luminarias,2000,"Scott Bakula, Evelina Fernandez, Angela Moya, Marta DuBois, Cheech Marin"
Eye of the Storm,1998,"Blythe Danner, Leo Burmester, Katherine Kendall, Kurt Deutch, Guy Ale, Jennifer Griffin Chambers, Nicole Biesterfield, Patricia Frontain, Keith Reddin, Rachel Stilwell"
Mambo Café,2000,"Rick Gonzalez, Rosanna DeSoto, Danny Aiello, Thalía, Lillo Brancato Jr., Robert Costanzo, Ellen Pompeo, Michael Pitt, Paul Rodriguez"
Anna and the King,1999,"Chow Yun-Fat, Jodie Foster, Bai Ling, Tom Felton, Geoffrey Palmer, Randall Duk Kim, Bill Stewart, Syed Alwi, Lim Kay Siu, Melissa Campbell, Ann Firbank, Shanthini Venugopal, Keith Chin, Mano Maniam, Deanna Yusoff, Sean Ghazi, K.K. Moggie, Dharma Harun Al-Rashid, Harith Iskander, Yusof B. Mohd Kassim, Afdlin Shauki, Swee Lin Neo, Ramli Hassan, Robert Hands, Lim Yu-Beng, Kenneth Tsang, Kee Thuan Chye, Patrick Teoh, Aimi Aziz, Ellie Suriaty Omar, Tina Lee Siew Ting, Ruby Wong, Zaridah Abdul Malik, Ahmad Mazlan, Mohd Razib Saliman, Zaibo, Pak Ling, Mahmud Ali Basah, Zulhaila Siregar, Jean-Luc Russier, Fariza Azlina"
A Better Place,1997,"Eion Bailey, Carmen Llywelyn, Bryan Sproat, Joseph Cassese, Robert DiPatri, Brian Lynch, Ethan Suplee"
Stand-ins,1997,"Katherine Heigl, Sammi Davis, Daphne Zuniga, Jordan Ladd, Costas Mandylor, Missy Crider, Todd Cattell, Charlotte Chatton, Katherine Morris, Rod Dyer, Bob Elyea"
Power of Attorney,1995,"Elias Koteas, Danny Aiello, Rae Dawn Chong, Andrew Airlie, Nina Siemaszko, Roger Wilson, Babz Chula, Hagan Beggs, Liduina Vanderspek, Greg Rogers"
Who Killed Atlanta's Children?,2000,"Gregory Hines, Jim Belushi, J. J. Johnston, Clé Bennett, Bill Duke, Shawn Doyle, Aidan Devine, Kenneth Welsh, Sean McCann, Eugene Clark, Bill MacDonald, Lynda Gravatt, Debra Sharkey"
Fiona,1998,"Anna Thomson, Christopher McCann, Bill Dawes, Anna Grace, Felicia Maguire, Alyssa Mulhern, Sue Ponczkowski, Matthew Powers, Mike Hodge, Peggy Van Tries"
Red Ink,2000,"Lew Temple, Clarence Whitmore, Davi Jay, Eileen Morris, Diego Villarreal Garcia"
Ride with the Devil,1999,"Jeffrey Wright, Tobey Maguire, Skeet Ulrich, Simon Baker, Jonathan Rhys Meyers, Jim Caviezel, Jewel, David Darlow, Jeremy W. Auman, Glenn Q. Pierce, Kathleen Warfel, Scott Sener, Jonathan Brandis, Mark Ruffalo, Tom Wilkinson, Tom Guiry, Celia Weston"
Camera Obscura,2000,"Ariadna Gil, Adam Trese, Cully Fredricksen, Molly Bryant, V.J. Foster, Kirk Ward"
John John in the Sky,2000,"Matt Letscher, Aunjanue Ellis, Leslie Jordan, Romy Rosemont, Randy Travis, Rusty Schwimmer, Christian Craft, Gemini Barnett"
An American Daughter,2000,"Christine Lahti, Tom Skerritt, Mark Feuerstein, Scott Michael Campbell, Lynne Thigpen, Cynthia Harris, Jay Thomas, Stanley Anderson, Blake Lindsley, Matt Weinberg, Will Rothhaar, Caroline Aaron, Teri Austin, Karen Kim"
Men Cry Bullets,1997,"Jeri Ryan, Chanda"
Fluke,1995,"Matthew Modine, Samuel L. Jackson, Max Pomeranc, Nancy Travis, Bill Cobbs, Jon Polito, Ron Perlman, Eric Stoltz, Federico Pacifici, Clarinda Ross"
Cool Air,1999,"Jack Donner, Bryan Moore, Vera Lockwood, Michael Sonye, Ron Ford"
Private Parts,1997,"Mary McCormack, Paul Giamatti, Carol Alt, Fred Norris, Michael Murphy, Robin Quivers, Allison Janney, Richard Portnow, Jonathan Hadary, Kelly Bishop, Henry Goodman, Paul Hecht, Gary Dell'Abate, Jackie Martling, Sarah Hyland, Edie Falco, James Murtaugh, Reni Santoni, Lee Wilkof, Alexandria Lakewood, Theresa Lynn, Amber Smith, Althea Cassidy, Jenna Jameson, Bobby Boriello, Michael Maccarone, Matthew Friedman, John Michael Bolger, John Stamos, Christopher Barron, Flavor Flav, MC Hammer, Ted Nugent, Ozzy Osbourne, John Popper, Slash, Renee Suran, Dee Snider, Tiny Tim, Steven Gilborn, Curtis McLarin, Richard B. Shull, Gabriel De Silva, Jennifer Gareis, Mandy Fabian, Ali Marsh, Scott Cohen, James Villemaire, Wendy Hoopes, Richard Russell Ramos, Gordon Joseph Weiss, Allison Furman, Julie Gawkowski, Davenia McFadden, Michael C. Gwynne, Irene DeCook, Jordan Derwin, Silas Weir Mitchell, Stuart Rudin, Richard Ziman, Adam LeFevre, Janine Lindemulder, Scott Lawrence, Christine Tucci, Kim Chan, Nick Wyman, Stephen Pearlman, Catherine Wolf, Tom Tammi, Luke Reilly, Rick Levi, Peter Jacobson, Leslie Bibb, Joanne Camp, Peter Maloney, Sarah Zinsser, Barry Papick, David Letterman, Christine Toy, Alison Berns, Brian Johnson, Angus Young, Malcolm Young, Phil Rudd, Cliff Williams, Susan Pratt, John Melendez, Crackhead Bob, Nicole Bass, Camille Grammer, Danna Bradley, Seth Silver, Carrie Flaska, Steve Ballot, Brian Costantini, Barnett Milton Lloyd, Aimee Luzier, Eric Attio, Demetria Bailey, Lawrence Cioppa"
Silver Man,2000,"Paul Popowich, Eugene Levy, Derek Hamilton, Louise Fletcher, Joe Pantoliano, Daniel Baldwin, Audrey Lupke, Kenny Robinson, Leslie Carlson, Kevin Rushton, Matthew Sannella, Judi Embden"
Deadly Voyage,1996,"Omar Epps, Joss Ackland, Jean-Claude La Marre, Sean Pertwee, Andrew Divoff, David Suchet, Chiwetel Ejiofor, Michael Byrne, Adewale Akinnuoye-Agbaje, Maxine Burth"
Carnival of Wolves,1996,"Mike Norris, Joe Estevez, Stoney Jackson, Sonny Landham, Hoke Howell, Toshiya Nagasawa, Forrest Montgomery, Don Dowe"
Last Chance,1999,"Tim Thomerson, Art LaFleur, Bryan Cranston, Jay Thomas, Nobu McCarthy, Annie Corley, Elizabeth Huett, Amy Hathaway"
"South of Heaven, West of Hell",2000,"Luke Askew, Dwight Yoakam, Joe Unger, Michael Jeter, Paul Reubens, Bud Cort, Noble Willingham, Scott Wilson, Matt Malloy, Natalie Canerday, Peter Fonda, Billy Bob Thornton, Bridget Fonda, Vince Vaughn, Bo Hopkins, Ritchie Montgomery, Warren Zevon, Otto Felix, Joe Ely, Terry McIlvain, Amber Taylor, Charles Burba, Audrey Lowe, Maria Daleo, Marta Santamaria, Corky Wimberly, Flecia Beard, Rudy Ugland, Jim Clark, Warner McKay, Glen Gold, Forrie J. Smith, Claude Aichele, Rose Duarte, George Salazar, Maurice Orozco, Gina Carizoza, Richard Smith, George Dobbs, Joseph Romanov, Thadd Turner, Matt Clark"
Chinese Coffee,2000,"Al Pacino, Jerry Orbach, Susan Floyd, Ellen McElduff, Neal Jones, Libby Langdon, Paul J.Q. Lee, Francis Maiorino"
What's Cooking?,2000,"Mercedes Ruehl, Kyra Sedgwick, Lainie Kazan, Maury Chaykin, Julianna Margulies, Alfre Woodard, Dennis Haysbert, Estelle Harris, Suzanne Carney, A Martinez, Victor Rivers, Douglas Spain, Isidra Vega, Maria Carmen, Elena Lopez, Lorraine Perez, Richard Yniguez, Adrian Armas, Eva Rodriguez, Joan Chen, François Chau, Will Yun Lee, Kristy Wu, Brennan Louie, Jimmy Pham, Kieu Chinh, Chao-Li Chi, Chad Todhunter, Scott Nguyen, Albie Selznick, Ralph Manza, Andrew Heckler, Marty, Eric George, Brittany Jean Henry, Ann Weldon, Shareen Mitchell, Gregory Itzin, Mariam Parris, Frank Novak, Margie Loomis, Gwendolyn Oliver, Charles Constant, Bruce Dobos, Darren O'Bannon, Jeremy Berger, Alexandra Castro, Caz"
The Hi-Line,1999,"Tantoo Cardinal, Ryan Alosio, Rachael Leigh Cook, Stuart Margolin, Margot Kidder, Albert J. Kalanick, Rainer Judd, Tom Hanson"
Fallen Angel,1997,"Steve Cannon, Harold Creg, Jim Buck, Cole Tucker, Tony Zerega, Kira Reed, Sam Phillips"
Judy Berlin,1999,"Barbara Barrie, Bob Dishy, Carlin Glynn, Edie Falco, Marcus Giamatti, Marcia DeBonis, Madeline Kahn, Julie Kavner, Novella Nelson, Judy Graubart, Aaron Harnick, Anne Meara, Peter Appel, Bette Henritze, Arthur Anderson, Margaret Mendelson, Glenn Fitzgerald, Louisa Shafia"
Timeless,1996,"Melissa Duge, Peter Byrne"
Cheaters,2000,"Paul Sorvino, Jeff Daniels, Jena Malone, Luke Edwards, Blake Heron, Dov Tiefenbach, Dan Warry-Smith, Anna Raj, Dominik Podbielski, Ned Eisenberg, Robert Joy, Lenka Peterson, Alex Poch-Goldin, Karen Glave, Marcia Bennett, Ed Wadley, Jackie Richardson, Jeff A. Wright, Karyn Dwyer, Joan Esposito"
A Change of Heart,1998,"John Terry, Jean Smart, Gretchen Corbett, Shawna Waldron, Dorian Harewood, Phillip Geoffrey Hough, Ari Karczag, Craig Damon, Ted Roisum, David Gomes, Winslow Corbett, Jan Brehm, Tobias Anderson, Jeff Gorham"
The Next Step,1997,"Taylor Nichols, Denise Faye, Rick Negron, Kristin Moreu, Aubrey Lynch, Thomas Gibson"
Marine Life,2000,"Peter Outerbridge, Tyler Labine, Michael Hogan, Cybill Shepherd, Gabrielle Miller, Alexandra Purvis, Keely Purvis"
Kate's Addiction,1999,"Lyle Kanouse, Joel Gretsch, John Billingsley, Kari Wührer, Matthew Porretta, Matt Borlenghi, Natalie Radford, Eric DelaBarre, Farrah Forke"
Peep Show,1999,"Matt Cohen, Bob Kirsh, Jane Leyden"
Little Red,2000,"Brandon Price, Moreno Brown, Char Clay, Ben Farr, Cisco Reyes, Zachary Goden"
A Private Affair,2000,"Vanessa Bell Calloway, Lou Myers, Clifton Powell, Kym Whitley"
Wilderness Love,2000,"Andrew Airlie, Donnelly Rhodes, Jeffrey Nordling, Michael Welch, Lenore Zann, Emily Tennant, Valerie Bertinelli, Andrea Roth, Ross Malinger"
"Our Friend, Martin",1999,"James Earl Jones, LeVar Burton, Whoopi Goldberg, Oprah Winfrey, Richard Kind, John Travolta, Angela Bassett, Susan Sarandon, Frank Welker, Jess Harnell, Jaleel White, Lucas Black, Ed Asner, Robert Ri'chard, Danny Glover, Ashley Judd, Samuel L. Jackson, Adam Wylie, Zachary Leigh, Elizabeth Primm, Yolanda King, Joe Lala, Theodore Borders, Jessica Garcia, Jodi Carlisle, Dexter Scott King, Vincenzo Trippetti"
Kiss the Sky,1999,"William Petersen, Gary Cole, Sheryl Lee, Terence Stamp, Ivana Miličević"
Vendetta,1999,"Christopher Walken, Luke Askew, Bruce Davison, Clancy Brown, Richard Libertini, Edward Herrmann, Andrea Di Stefano, Joaquim de Almeida, Andrew Connolly, Alessandro Colla"
The Babysitter,1995,"Alicia Silverstone, Jeremy London, J. T. Walsh, Nicky Katt, Tuesday Knight, Lois Chiles, George Segal, Matthew Kimbrough, Lee Garlington, Ryan Slater, Jane Alden, Noel Evangelisti, Eric Menyuk, Brittany English Stephens, Michael Chieffo"
In the Flesh,1998,"Julie R. Lee, Lora Elkins, Sandi Scheier, Shimley Reynolds, Randy Cohlmia, Ed Corbin, Dane Ritter"
3 Steps to Heaven,1995,"Frances Barber, Katrin Cartlidge, Siobhan Burke, Bridget Brammall, David Cardy, Freddie Annobil-Dodoo, Constantine Giannaris, Paul Mark Elliott, Katrin Cartlidge, Katrin Cartlidge, Ken Davidson, James Fleet, Kevin Graal, Elaine Hallam, Mark Hammond, Stuart Laing, Caroline Loncq, Trevor McDonald, Con O'Neill, Liz Ranken, Kate Rhodes, Juliano Shkreli, Jay Simpson, David Sterne, Scott Lane"
Inside,1996,"Eric Stoltz, Nigel Hawthorne, Louis Van Niekerk, Ian Roberts, Louis Gossett Jr., Janine Eser, Desmond Dube, Gary Coppin, Patrick Shai, Jerry Mofokeng, Ross Preller, Joshua Lindberg, Duma Tsepane, Themba Ndaba, Mandy Gulwa, Seldom Ngwenia, Sizwe Nyembe, Themba Ndaba"
Unshackled,2000,"Morgan Fairchild, Stacy Keach, Burgess Jenkins, James R. Black"
Sally,2000,"Matt Price, Rachael Leigh Cook, Michael Weston, Gerrit Vooren, Jared Reed, Kevin Pinassi, Ian Bonner, Molly Russell, Ronnie Banks"
John Krawlzik: Ascension,2000,"Sally Mercer, Paul L. Nolan, Curt Karibalis"
Looking for America,1995,"James Lorinz, Arthur J. Nascarella, Elizabeth Bracco, Ronnie Lazaro, Barbara Blackburn, John Michael Bolger, Joonee Gamboa, Vic Díaz, Ray Ventura, Ann M. Achacoso"
Gattaca,1997,"Ethan Hawke, Uma Thurman, Jude Law, Loren Dean, Xander Berkeley, Gore Vidal, Gabrielle Reece, Alan Arkin, Tony Shalhoub, Vincent Nielson, William Lee Scott, Ernest Borgnine, Chad Christ, Mason Gamble, Jayne Brook, Maya Rudolph, Blair Underwood, Una Damon, Elias Koteas, Elizabeth Dennehy, Clarence Graham, Carlton Bembry, Grace Sullivan, Ken Marino, Cynthia Martells, Ryan Dorin, Dean Norris, Russell Milton, George Marshall Ruge, Steve Bessen, Lindsey Ginter, Dan Griffin, Beverly Griffith, David LeBell"
The House of Mirth,2000,"Gillian Anderson, Dan Aykroyd, Laura Linney, Anthony LaPaglia, Eric Stoltz, Elizabeth McGovern, Terry Kinney, Jodhi May, Pearce Quigley, Mary MacLeod, Linda Marlowe, Serena Gordon, Eleanor Bron, Paul Venables, Helen Coker, Clare Higgins, Anne Marie Timoney, Lorelei King, Ralph Riach, Penny Downie"
Against the Law,1997,"Richard Grieco, Nancy Allen, Thomas Mikal Ford, Heather Thomas, Nick Mancuso, James Stephens, Jaime Pressly, Gary Sandy, Herb Mitchell, Leslie Bega, Steven Ford"
Painted Hero,1997,"Dwight Yoakam, Cindy Pickett, Bo Hopkins, John Getz, Peter Fonda, Kiersten Warren, Brent Anderson, Terry McIlvain, Michelle Joyner, Walton Goggins"
My Brother's Keeper,1995,"John Lithgow, Ellen Burstyn, Brian Doyle-Murray, Mark Harelik, Timothy Stack, Veronica Cartwright, Željko Ivanek, Amy Aquino, Annette O'Toole, Phil Reeves"
Blind Light,1998,Edie Falco
The Unspoken Truth,1995,"Lea Thompson, James Marshall, Patricia Kalember, Robert Englund, Dick O'Neill, Mona Lee Fultz, Gail Cronauer, Karis Paige Bryant"
Balloon Farm,1999,"Mara Wilson, Rip Torn, Roberts Blossom, Laurie Metcalf, Adam Wylie, Ernie Lively, Guy Boyd, Arnetia Walker, Fredric Lehne"
The Young Unknowns,2000,"Eion Bailey, Devon Gummersall, Arly Jover, Leslie Bibb, Simon Templeman, Dale Godboldo"
Pariah,1998,"Angela Jones, Davidlee Willson, Dave Oren Ward, Aimee Chaffin, Orlando Estrada"
Grind,1997,"Adrienne Shelly, Billy Crudup, Paul Schulze, Saul Stein, Amanda Peet, Frank Vincent"
City of Angels,1998,"Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz, Colm Feore, Kim Murphy, Deirdre O'Connell, Dan Desmond, Chad Lindberg, Robin Bartlett, Joanna Merlin, Sarah Dampf, Rhonda Dotson, Elisabeth Shue, Kylie Tyndall, Keaton Tyndall, Alexander Gould, Nigel Gibbs, John Putch, Lauri Johnson, Christian Aubert, Jay Patterson, Shishir Kurup, Brian Markinson, Hector Velasquez, Marlene Kanter, Bernard White, Alexander Folk, Rainbow Borden, Harper Roisman, Sid Hillman, Wanda-Lee Evans, Wanda Christine, E.J. Callahan, Tudi Roche, David Moreland, Kristina Malota, William Stanford Davis, Mik Scriba, Nick Offerman, Kieu Chinh, Geoffrey Thorne, Peter Spellos, James Kline, Cherene Snow, Amy Brenneman, Tanya Douglas, Andrew Frankel, Steve Mora, Blair Underwood"
Don Juan DeMarco,1995,"Marlon Brando, Johnny Depp, Faye Dunaway, Selena, Talisa Soto, Géraldine Pailhas, Bob Dishy, Rachel Ticotin"
Southie,1999,"Robert Wahlberg, Donnie Wahlberg, Rose McGowan, Amanda Peet, Anne Meara, Will Arnett, Amy Stiller, John Shea, Lawrence Tierney, Jimmy Cummings, Jere Shea, Josh Marchette, Steven Kozlowski, Jay Giannone, David Fitzgerald, Steve Sweeney, Lenny Clarke, Sue Costello, Brian Goodman, Mary Flavin, Jeffery Cook, Kipley Wentz, Lawrence Bain, Mannie Corrado, Bo Cleary, Janet Giannone, Martin Mullen, Matthew Mullen, Katie MacIntosh, Patrick Hayes, Leo Rull, Diane Beckett, Jules Graciolett, Ericson Balcita, Phil Barrineau, Timmy Cummings, Johnny Blowers, Danny Gill, Corky Laing, Angela McCluskey, Johnny Diesel, Kevin March, Pat McGuire, Gerard McMahon, Tony Silver, Donald Wahlberg, Lance Greene, Eddie Eaton, Lenore Thomas, Tom Serani, Frank Shattuck, Taylor Binda, Matthew Souris, Joel Ariniello, Kat Corbett, Joe McEachern, Glenn Phillips, Kristen Vermilyea"
"God, Sex & Apple Pie",1998,"Katy Kurtzman, Andrea Leithe, Mark S. Porro, Penelope Crabtree, Steve Rifkin, Jerome Courshon, Maria McCann, Phil Palisoul, Greg Wrangler"
Joseph's Gift,1998,"Brion James, Freddy Rodriguez, Pamela Bellwood, John Saxon, Angus Macfadyen, Martin Kove, Robert Townsend, Ben Bottoms, David Arrow, Marcel Marceau, John Dennis Johnston, Joseph Bottoms, Caroline Ambrose, Jennifer Buttell, Sam Bottoms"
Nowhere Fast,1998,"Darnell Martin, Joie Lee, Cinqué Lee"
Mascara,1999,"Lumi Cavazos, Ione Skye, Karen Black, Tara Subkoff, Amanda de Cadenet, Corey Page, Rustam Branaman, Steve Jones, Steven Schub"
A Storm in Summer,2000,"Peter Falk, Andrew McCarthy, Ruby Dee, Aaron Meeks, Nastassja Kinski"
Floating,1997,"Chad Lowe, Norman Reedus, Casey Affleck, Josh Marchette, Sybil Temchen, Edward Stanley, Will Lyman, Jonathan Quint, Robert Harriell, Bruce Kenny"
The Homecoming,1996,"Michael Flanigan, Billy Graham, Michael Heaton, Jeremy Peter Johnson, G. Riley Mills, Anthony Mockus Sr., Lucy Rendler-Kaplan, Megan Frances, Jeff Holtorf"
Steve Martini: Undue Influence,1996,"Patricia Richardson, Brian Dennehy, Jean Smart, Alan Rosenberg, Joe Grifasi, Richard Masur, Allison Mackie, Doren Fein, Eric Michael Cole, Kari Matchett"
Every Woman's Dream,1996,"Kim Cattrall, Jeff Fahey, Vicky Haughton, John Sumner, Judith McConnell, Judie Douglass"
Switched at Birth,1999,"Rosanna Arquette, Melissa Gilbert, David Andrews, James McCaffrey, Mary Mara, Ron Snyder, Susan Barnes, Peter Lohnes, Lester B. Hanson, Joe Ivy, Bruce Burkhartsmeier, Robert Blanche, Sharonlee McLean, Raissa Fleming, Rob Stockton, Kelly Wilson, Marilyn Faith Hickey, Sam A. Mowry, Sharon A. Mitchell, Ted Roisum, Betty Moyer, Carol Jones, Karen Johnson-Miller, Kaz Garas, Eric Newsome, Shannon Day, Laura Duyn, Sarah Bixel, Russ Cootey, Yolanda Vanveen, Helen Kelly, Michael McElroy"
Fallen Arches,1999,"Richard Portnow, Carmine Giovinazzo, Tamara Braun, Karen Black, Peter Onorati, Louis Ferreira, Ron Thompson"
Angel Blue,1998,"Lisa Eichhorn, Karen Black, Sam Bottoms, Yeniffer Behrens, Marco Rodríguez, Tessa Koning-Martinez, Jason Graves, Sandor Tecsy, Jamie Comer, Aloysia Gavre-Wareham, Chris Pray, Larry Nicks, Robert Ernst, Bob Clark, Sharon McNight"
Rhapsody,2000,"Gina Ravera, Wood Harris, LisaRaye McCoy-Misick, Byron Minns, Nick Vallelonga, Brad Spencer, Lalanya Masters, Keith Sweat, Inny Clemons, Treach, Eric George, Farrah Hines, Summer Simmons"
The Siege at Ruby Ridge,1996,"Laura Dern, Bradley Pierce, G.W. Bailey, Bob Gunton, August Schellenberg, Darren E. Burrows, Gary Graham, Tracy Griffith, Kirsten Dunst, Diane Ladd, Randy Quaid"
Changing Habits,1997,Shelley Duvall
Still Holding On: The Legend of Cadillac Jack,1998,"Lisa Hartman Black, Clint Black, Joe Stevens, Robert Norsworthy, Brandon Smith, Bill Bolender"
Levitation,1998,"Jeremy London, Ernie Hudson, Sarah Paulson, Ann Magnuson, Benjamin Heflin, Christopher Boyer, Cassandra Ray, Elizabeth Gabor"
Black and Blue,1999,"Anthony LaPaglia, Mary Stuart Masterson, Sabrina Grdevich, Beau Starr, Sam Robards, Will Rothhaar"
Lotto Land,1995,"Lawrence Gilliard Jr., Suzanne Costollos, Paul Calderón, Jaime Tirelli, Luis Guzmán, Terrence Howard, John Ortiz, Daphne Rubin-Vega, Paul Lemos, Loretta Ehrhardt, Cecilia Rubino, Monilewa Okan, Eden Marryshow, Barbara Gonzalez, Wendell Holmes"
Flow,1996,"Lela Lee, Jeremy Maxwell, Tedd Szeto, Paulino Tamayo, Francis Acquas, BP Cheng"
